<1% abundance,<1% abundance,<1% abundance,<1% abundance,darkgrey
Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,darkgrey
Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,darkgrey
Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,darkgrey
Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Nodosilineaceae,darkgrey
Dependentiae,Babeliae,Babeliales,unc. bacterium,darkgrey
Firmicutes,Bacilli,Bacillales,Staphylococcaceae,darkgrey
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,darkgrey
Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,darkgrey
Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,darkgreen
Nanoarchaeaeota,Woesearchaeia,Archaeon SCGC,Archaeon SCGC,chartreuse3
Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,darkcyan
Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,darkcyan
Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,khaki1
Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,khaki1
Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales-P3OB,lightskyblue
Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,royalblue
Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,royalblue
Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,royalblue
Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,royalblue
Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,royalblue
Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,royalblue
Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,royalblue
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Salinsphaerales,Salinisphaeraceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,BD72BR169,unc. Vibrio sp.,lightskyblue
Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,violetred1
Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,tomato2
Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,tomato1
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,seagreen4
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,seagreen4
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,seagreen4
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,lightseagreen