<1% abundance,<1% abundance,<1% abundance,<3% abundance,darkgrey
Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,darkgrey
Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,darkgreen
Nanoarchaeaeota,Woesearchaeia,Archaeon SCGC,Archaeon SCGC,chartreuse3
Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,darkcyan
Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,darkcyan
Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,khaki1
Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,khaki1
Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales-P3OB,lightskyblue
Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,royalblue
Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,lightslateblue
Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,lightslateblue
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Salinsphaerales,Salinisphaeraceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,lightskyblue
Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,violetred1
Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,tomato1
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,seagreen4
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,seagreen4
Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,lightseagreen