<1% abundance,<1% abundance,<1% abundance,darkgrey
Spirochaetes,Spirochaetia,Spirochaetales,darkgreen
Nanoarchaeaeota,Woesearchaeia,Euryarchaeota archeaon...,chartreuse3
Cyanobacteria,Oxyphotobacteria,Nostocales,darkcyan
Bacteroidetes,Bacteroidia,Cytophagales,khaki1
Proteobacteria,Deltaproteobacteria,Mxyococcales,lightsteelblue2
Proteobacteria,Alphaproteobacteria,Rhodobacterales,royalblue2
Proteobacteria,Alphaproteobacteria,Rhodovibrionales,royalblue2
Proteobacteria,Gammaproteobacteria,Francisellales,lightskyblue
Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,lightskyblue
Proteobacteria,Gammaproteobacteria,Cellvibrionales,lightskyblue
Proteobacteria,Gammaproteobacteria,Xanthomonadales,lightskyblue
Proteobacteria,Gammaproteobacteria,Vibrionales,lightskyblue
Proteobacteria,Gammaproteobacteria,Alteromonadales,tomato
Proteobacteria,Gammaproteobacteria,Oceanospirillales,lightseagreen